id,name,standard_id
iso_4_1,4.1,ISO 9001
iso_4_2,4.2,ISO 9001
iso_4_3,4.3,ISO 9001
iso_4_4,4.4,ISO 9001
iso_5_1,5.1,ISO 9001
iso_5_1_1,5.1.1,ISO 9001
iso_5_1_2,5.1.2,ISO 9001
iso_5_2,5.2,ISO 9001
iso_5_2_1,5.2.1,ISO 9001
iso_5_2_2,5.2.2,ISO 9001
iso_5_3,5.3,ISO 9001
iso_6_1,6.1,ISO 9001
iso_6_2,6.2,ISO 9001
iso_6_3,6.3,ISO 9001
iso_7_1,7.1,ISO 9001
iso_7_1_1,7.1.1,ISO 9001
iso_7_1_2,7.1.2,ISO 9001
iso_7_1_3,7.1.3,ISO 9001
iso_7_1_4,7.1.4,ISO 9001
iso_7_1_5,7.1.5,ISO 9001
iso_7_1_6,7.1.6,ISO 9001
iso_7_2,7.2,ISO 9001
iso_7_3,7.3,ISO 9001
iso_7_4,7.4,ISO 9001
iso_7_5,7.5,ISO 9001
iso_7_5_1,7.5.1,ISO 9001
iso_7_5_2,7.5.2,ISO 9001
iso_7_5_3,7.5.3,ISO 9001
iso_8_1,8.1,ISO 9001
iso_8_2,8.2,ISO 9001
iso_8_2_1,8.2.1,ISO 9001
iso_8_2_2,8.2.2,ISO 9001
iso_8_2_3,8.2.3,ISO 9001
iso_8_2_4,8.2.4,ISO 9001
iso_8_3,8.3,ISO 9001
iso_8_3_1,8.3.1,ISO 9001
iso_8_3_2,8.3.2,ISO 9001
iso_8_3_3,8.3.3,ISO 9001
iso_8_3_4,8.3.4,ISO 9001
iso_8_3_5,8.3.5,ISO 9001
iso_8_3_6,8.3.6,ISO 9001
iso_8_4,8.4,ISO 9001
iso_8_4_1,8.4.1,ISO 9001
iso_8_4_2,8.4.2,ISO 9001
iso_8_4_3,8.4.3,ISO 9001
iso_8_5,8.5,ISO 9001
iso_8_5_1,8.5.1,ISO 9001
iso_8_5_2,8.5.2,ISO 9001
iso_8_5_3,8.5.3,ISO 9001
iso_8_5_4,8.5.4,ISO 9001
iso_8_5_5,8.5.5,ISO 9001
iso_8_5_6,8.5.6,ISO 9001
iso_8_6,8.6,ISO 9001
iso_8_7,8.7,ISO 9001
iso_9_1,9.1,ISO 9001
iso_9_1_1,9.1.1,ISO 9001
iso_9_1_2,9.1.2,ISO 9001
iso_9_1_3,9.1.3,ISO 9001
iso_9_2,9.2,ISO 9001
iso_9_3,9.3,ISO 9001
iso_9_3_1,9.3.1,ISO 9001
iso_9_3_2,9.3.2,ISO 9001
iso_9_3_3,9.3.3,ISO 9001
iso_10,10,ISO 9001
iso_10_1,10.1,ISO 9001
iso_10_2,10.2,ISO 9001
iso_10_3,10.3,ISO 9001
