"id","chapter","complete_name","name","question"
"hola_calidad_clause_123_cff6204e","Contexto de la organización"," Comprensión de la organización y su contexto","4.1","¿ Ha realizado un análisis interno y externo de su empresa?"
"hola_calidad_clause_124_af2443a4","Contexto de la organización","Comprensión de las necesidades y expectativas de las partes interesadas","4.2","¿Tiene identificado todos los requisitos legales aplicables a su empresa y sus partes interesadas y sus respectivos requisitos?"
"hola_calidad_clause_125_02395ff7","Contexto de la organización","Determinación del alcance del SGC","4.3","¿Su sistema tiene un alcance definido?"
"hola_calidad_clause_126_08af1a91","Contexto de la organización","SGC y sus procesos","4.4","¿Cuenta con procedimientos definidos para la ejecución de sus actividades?"
"hola_calidad_clause_127_ec3d1e8d","Liderazgo","Liderazgo y compromiso","5.1","¿Cuenta con indicadores del sistema de gestión de calidad?"
"hola_calidad_clause_152_a86865b5","Liderazgo","Satisfacción del cliente","5.1.2","¿mide la satisfacción de sus clientes?"
"hola_calidad_clause_128_a3b36694","Liderazgo","Política","5.2","¿Cuenta con una política de calidad?"
"hola_calidad_clause_129_2f5abd1d","Liderazgo","Roles, responsabilidades y autoridades en la organización","5.3","¿Se han delegado funciones ( MOF) y autoridad al personal vinculado con el sistema de gestión?"
"hola_calidad_clause_130_3831005a","Planificación","Acciones para abordar riesgos y oportunidades","6.1","¿Tiene establecidas acciones para abordar sus riesgos y oportunidades?"
"hola_calidad_clause_131_7de76019","Planificación","Objetivos de la calidad y planificación para lograrlos","6.2","¿Cuentan con objetivos de calidad?"
"hola_calidad_clause_132_9616995f","Planificación","Planificación de los cambios","6.3","¿Tiene definidos los posibles cambios del sistema de gestión de calidad?"
"hola_calidad_clause_133_57550522","Apoyo","Recurso","7.1","¿Cuenta con los recursos necesarios para la implementación de su sistema de gestión como: personas, infraestructura, ambiente, de seguimiento y medición?"
"hola_calidad_clause_134_0fdb0e5a","Apoyo","Competencia","7.2","¿Ha definido los requisitos de competencia necesarios para cada puesto de trabajo?"
"hola_calidad_clause_135_73f5f9d2","Apoyo","Toma de Conciencia","7.3","¿Cuenta con un programa de capacitaciones?"
"hola_calidad_clause_136_86cd5226","Apoyo","Comunicación","7.4","¿Cuenta con un sistema de comunicaciones internas y externas pertinentes al sistema de gestión de la calidad?"
"hola_calidad_clause_137_b1d9ed7f","Apoyo","Informacion Documentada","7.5","¿Cuenta con su información documentada referente al sistema de calidad?"
"hola_calidad_clause_138_071d0002","Apoyo","Creacion y actualizacion","7.5.2","Creación y actualización"
"hola_calidad_clause_139_c30a6f8c","Apoyo","Control de la Informacion Documentada","7.5.3","¿Tiene un mecanismo de control de su información documentada?"
"hola_calidad_clause_140_9dfe8373","Operación","Planificación y control operacional","8.1","¿Tiene definidos procesos de planificación y control operativo?"
"hola_calidad_clause_141_18b81015","Operación","Requisitos para los productos y servicios","8.2","¿Realiza una definición previa de requisitos de sus productos y servicios?"
"hola_calidad_clause_142_56a0db9b","Operación","Diseño y desarrollo de los productos y servicios","8.3","¿Realiza un proceso de diseño y desarrollo para sus productos y/o servicios?"
"hola_calidad_clause_143_e9ff0e2b","Operación","Control de los procesos, productos y servicios suministrados externamente","8.4","¿Una parte de un proceso, es proporcionado por un tercero?"
"hola_calidad_clause_144_542d49f2","Operación","producción y provisión del servicio","8.5","¿Tiene definido un procedimiento de control de producción?"
"hola_calidad_clause_145_b6901787","Operación","Liberación de los productos y servicios","8.6","¿cuenta con un procedimiento definido para la liberación de sus productos?"
"hola_calidad_clause_146_9b837e3b","Operación","Control de las salidas no conformes","8.7","¿controla las salidas no conformes?"
"hola_calidad_clause_147_661374fd","Evaluación del desempeño","Seguimiento, medición, análisis y evaluación","9.1","¿Evalúa el desempeño y la eficacia de su sistema de gestión?"
"hola_calidad_clause_148_ed19016b","Evaluación del desempeño","Auditoría interna","9.2","¿Cuenta con un programa de auditorías de su sistema de gestión?"
"hola_calidad_clause_149_e35738b1","Evaluación del desempeño","Revisión por la dirección","9.3","¿La alta dirección revisa el sistema de gestión de calidad en intervalos planificados?"
"hola_calidad_clause_150_af1f3836","Mejora","Generalidades, la organización debe ","10.1","¿Determina oportunidades de mejora?"
"hola_calidad_clause_151_87db943c","Mejora","No conformidad y acción correctiva","10.2","¿Establece acciones correctivas ante no conformidades?"
"hola_calidad_clause_153_8057cd51","Mejora","Revision por la direccón, salidas","10.3","¿Hace seguimiento a las salidas obtenidas en la revisión por la dirección?"
